Field=#~Integer~#~50|Field=Fitted~String~Fitted~150|Field=Description~String~Description~150|Field=Designator~String~Designator~150|Field=PartNumber~String~PartNumber~150|Field=Quantity~Integer~Quantity~150|Field=Manufacturer~String~Manufacturer~150|Field=PackageReference~String~PackageReference~150|Field=Value~String~Value~150|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~TIDA-010056.PrjPcb|ReportField=ProjectFullPath~D:\projects\TIDA-010056\Altium_PCB_design\Final Database TIDA-010056_E2_20190527\TIDA-010056.PrjPcb|ReportField=Title~BOM (TI Designs format) For Variant [001] of Project [TIDA-010056.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~7:34:48 PM|ReportField=ReportDate~5/28/2019|ReportField=ReportDateTime~5/28/2019 7:34:48 PM|ReportField=OutputName~BOM (TI Designs format)|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~001|ReportField=TotalQuantity~116|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=TID~010056|ReportField=TechSupport~http://www.ti.com/support|ReportField=SCH_Rev~E2|ReportField=PRJ_Title~54V, 1.5kW, 3-Phase BLDC Drive Power stage|ReportField=PRJ_Number~TIDA-010056|ReportField=PRJ_Engineer~Manu Balakrishnan|ReportField=PRJ_Customer~Public Release|ReportField=PCB_Rev~E2|ReportField=PCB_Layout~Manu Balakrishnan|ReportField=EVM_orderable~N/A|ReportField=CopyrightYear~2019|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~5/28/2019|ReportField=CurrentTime~7:30:19 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~D:\projects\TIDA-010056\Altium_PCB_design\Final Database TIDA-010056_E2_20190527\TIDA-010056_coversheet.SchDoc|ReportField=DocumentName~TIDA-010056_coversheet.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Manu|ReportField=Engineer~Not shown in title block|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~5/28/2019|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~TIDA-010056.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~5|ReportField=Time~Not shown in title block|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~TIDA-010056.PrjPcb|ReportField=DataSourceFullPath~D:\projects\TIDA-010056\Altium_PCB_design\Final Database TIDA-010056_E2_20190527\TIDA-010056.PrjPcb|ReportField=PCBConfigurationName~Bare PCB|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
26|Fitted|LED YELLOW CLEAR 0603 SMD|D6|150060YS75000|1|Wurth Elektronics Inc|LED_0603|YELLOW
27|Fitted|MACHINE SCREW PAN PHILLIPS 2-56|H1, H2|NY PMS 256 0025 PH|2|B&F Fastener Supply|Machine Screw Pan Phillips 2-56|
28|Fitted|Header, 2.54 mm, 2x1, Gold, TH|J2, J3, J5, J6|61300211121|4|Wurth Elektronik|Header, 2.54mm, 2x1, TH|
29|Fitted|Header, 2.54 mm, 4x1, Gold, TH|J4, J8, J10|61300411121|3|Wurth Elektronik|Header, 2.54mm, 4x1, TH|
30|Fitted|Header, 2.54mm, 5x1, Gold, TH|J7|61300511121|1|Wurth Elektronik|Header, 2.54mm, 5x1, TH|
31|Fitted|CONN HEADER VERT 8POS 2.54MM|J9|61300821121|1|Wurth Electronics|HDR8|
32|Fitted|Inductor, Drum Core, Ferrite, 330 uH, 0.27 A, 2.25 ohm, SMD|L1|SDR0604-331KL|1|Bourns|5.8x4.8x5.8mm|330uH
33|Fitted|Inductor, Shielded, Ferrite, 33 uH, 0.085 A, 1.4 ohm, SMD|L2|NLFV25T-330K-PF|1|TDK|2.5x1.8x2mm|33uH
34|Fitted|MOSFET, N-CH, 100 V, 200 A, KTT0002A (TO-263-2)|Q1, Q2, Q3, Q4, Q5, Q6|CSD19536KTT|6|Texas Instruments|KTT0002A|100V
35|Fitted|TRANS PNP 100V 1A SOT23-3|Q7|FMMT593TA|1|Fairchild Semiconductor|SOT-23|100 V
36|Fitted|TRANS NPN 100V 1A SOT23-3|Q8|FMMT493TA|1|Diodes Incorporated|SOT-23|100 V
37|Fitted|RES, 0, 5%, 0.063 W, 0402|R4, R28|RC0402JR-070RL|2|Yageo America|0402|0
38|Fitted|RES, 18.0 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0402|R6|ERJ-2RKF1802X|1|Panasonic|0402|18.0k
39|Fitted|RES, 75 k, 5%, 0.063 W, AEC-Q200 Grade 0, 0402|R10|CRCW040275K0JNED|1|Vishay-Dale|0402|75k
40|Fitted|RES, 1.50, 1%, 0.25 W, AEC-Q200 Grade 0, 1206|R14, R15, R16|CRCW12061R50FKEA|3|Vishay-Dale|1206|1.50
41|Fitted|RES, 10.0, 1%, 0.063 W, AEC-Q200 Grade 0, 0402|R22, R27|CRCW040210R0FKED|2|Vishay-Dale|0402|10.0
42|Fitted|RES, 100, 5%, 0.1 W, AEC-Q200 Grade 0, 0402|R23, R52, R57, R58, R61|ERJ-2GEJ101X|5|Panasonic|0402|100
43|Fitted|RES, 0.001, 1%, 3 W, AEC-Q200 Grade 0, 2512|R24, R25|CRE2512-FZ-R001E-3|2|Bourns|2512|0.001
44|Fitted|RES, 20.0 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402|R29, R30|CRCW040220K0FKED|2|Vishay-Dale|0402|20.0k
45|Fitted|RES, 0.91, 1%, 0.125 W, 0402|R31|ERJ-2BQFR91X|1|Panasonic|0402|0.91
46|Fitted|RES SMD 249K OHM 1% 1/16W 0402|R32|RC0402FR-07249KL|1|Yageo|0402|249k
47|Fitted|RES, 133 k, 1%, 0.063 W, AEC-Q200 Grade 0, 0402|R33|AC0402FR-07133KL|1|Yageo America|0402|133k
48|Fitted|RES SMD 4.02K OHM 1% 1/16W 0402|R34|RC0402FR-074K02L|1|Yageo|0402|4.02k
49|Fitted|RES, 2.00 M, 1%, 0.063 W, AEC-Q200 Grade 0, 0402|R35, R39, R48, R53|CRCW04022M00FKED|4|Vishay-Dale|0402|2.00Meg
50|Fitted|RES, 97.6 k, 1%, 0.1 W, AEC-Q200 Grade 0, 0402|R43|ERJ-2RKF9762X|1|Panasonic|0402|97.6k
